Source Code (sc),Language (slg),Source Type (fmt),Source Name (sn),Source Name - Native Language (asn),Directory Name (dn),Status Name (std),Discontinued Date (dsd),Type of  Coverage - Article Level (lva),Type of  Coverage - Source Level (lvs),Online Date (od),First Issue Online (fio),Description - English Language (de),Description - Native Language (dea),Frequency (frp),Online Availability Target (lag),Update Schedule (upn),External Notes (ntx),Pseudo-IP (pip),Source Web Site Address (url),Publisher Code (pbc),Publisher (pub),Circulation (cir),Circulation Source Code (cis),Circulation Source Name (csn),Primary Source Type Code (pst),Primary Source Type (psd),Source Family Group Code (sfg),Region of Origin Group Code (roo),Most Recent Issue Online (mri)
HTSUCC,English,article,Succeed,Succeed,Succeed,Discontinued,20120829.0,Full Text,Full Coverage,20120208,20111230,Succeed is a magazine focusing on entrepreneurs and management. Country of origin: South Africa,Succeed is a magazine focusing on entrepreneurs and management. Country of origin: South Africa,Monthly,Discontinued,Not available,This source ceased publication.,HINDU1,http://www.succeed.co.za,SUCEED,Succeed,,,,MAGPRI,"Print Editions: Magazines, Journals & Newsletters",,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20120829
SUQUTI,French,article,Sud Quotidien,Sud Quotidien,"Sud Quotidien (Senegal, French Language)",Active,,Full Text,Full Coverage,20150408,20150407,"Daily newspaper focusing on local and international news, sport, business and politics. Country of origin: Senegal","Daily newspaper focusing on local and international news, sport, business and politics. Country of origin: Senegal",Monday-Saturday,Same day as publication date,2 p.m. (GMT),,ALBWBA,http://www.sudonline.sn,PBSUQO,Sud Quotidien,20000.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Senegal (SENEG); West Africa (WAFR),20210122
SUDNWA,English,article,Sudan News Agency (SUNA),Sudan News Agency (SUNA),Sudan News Agency (SUNA),Active,,Full Text,Full Coverage,20140214,20131223,Sudan News Agency (SUNA) is the official government news agency of Sudan. Country of origin: Sudan,Sudan News Agency (SUNA) is the official government news agency of Sudan. Country of origin: Sudan,Daily,Continuously updated,As available,Source is government owned or controlled.,ALBWBA,http://www.suna-sd.net,SUNA,Sudan News Agency,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Sudan (SUDAN),20210122
SUNAD,Arabic,article,Sudan News Agency,Sudan News Agency,Sudan News Agency (SUNA) (Arabic Language),Active,,Full Text,Full Coverage,20110430,20100701,"News from Sudan News Agency (SUNA), the official government news agency of Sudan. Country of origin: Sudan","News from Sudan News Agency (SUNA), the official government news agency of Sudan. Country of origin: Sudan",Daily,Continuously updated,Throughout the day,Source is government owned or controlled.,ALBWBA,http://www.suna-sd.net,SUNA,Sudan News Agency,,,,NWSWR,Wires: Newswires,,Africa (AFRICA); East Africa (EAFR); Sudan (SUDAN),20210119
SUDTRI,English,article,Sudan Tribune,Sudan Tribune,Sudan Tribune,Active,,Full Text,Full Coverage,20080819,20080819,"Non-profit news site covering peacekeeping and human rights, oil, the economy, education, health, politics, society and broader regional news. Country of origin: Sudan","Non-profit news site covering peacekeeping and human rights, oil, the economy, education, health, politics, society and broader regional news. Country of origin: Sudan",Daily,As available,2 p.m. (GMT),,ALBWBA,http://www.sudantribune.com,SUDT,Sudan Tribune,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); East Africa (EAFR); Sudan (SUDAN),20210122
TSUNE,English,article,The Sun,The Sun,The Sun (Nigeria),Active,,Full Text,Full Coverage,20150408,20150408,"Daily English language newspaper with a special focus on human interest stories, politics, business and features. Country of origin: Nigeria","Daily English language newspaper with a special focus on human interest stories, politics, business and features. Country of origin: Nigeria",Daily,As available,As available,,ALBWBA,http://sunnewsonline.com/new,PBTSUN,The Sun Publishing Ltd.,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Nigeria (NIGEA); West Africa (WAFR),20210122
SUNIND,English,article,Sunday Independent,Sunday Independent,Sunday Independent (South Africa),Active,,Full Text,Full Coverage,20061115,20061029,"The Sunday Independent is published in Cape Town, South Africa. It includes news, opinion, business, reviews, marketing and sports sections. Country of origin: South Africa","The Sunday Independent is published in Cape Town, South Africa. It includes news, opinion, business, reviews, marketing and sports sections. Country of origin: South Africa",Weekly,Same day as publication date,Sunday,Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/sundayindependent,INONSA,Independent Online,21205.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201213
TSUNMA,English,article,The Sunday Mail,The Sunday Mail,The Sunday Mail (Zimbabwe),Active,,Full Text,Full Coverage,20191213,20191209,"The Sunday Mail is a weekly newspaper from Harare, Zimbabwe. The newspaper specifically covers news and analysis of business, sports and religion. It also includes news on entertainment and leisure from Africa region. Country of origin: Zimbabwe","The Sunday Mail is a weekly newspaper from Harare, Zimbabwe. The newspaper specifically covers news and analysis of business, sports and religion. It also includes news on entertainment and leisure from Africa region. Country of origin: Zimbabwe",Weekly,Same day as publication date,Monday,Source is government owned or controlled.,ASINET2,http://www.sundaymail.co.zw/,PBZNL,Zimbabwe Newspapers Limited,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Southern Africa (SOUAFR); Zimbabwe (ZIMBAB),20210118
TSUNNE,English,article,The Sunday News,The Sunday News,The Sunday News (Zimbabwe),Active,,Full Text,Full Coverage,20191213,20191208,"The Sunday News is weekly newspaper published by Zimbabwe Newspapers Limited. The publication includes the news about local, business, agriculture, health and fitness, opinions and analysis. Country of origin: Zimbabwe","The Sunday News is weekly newspaper published by Zimbabwe Newspapers Limited. The publication includes the news about local, business, agriculture, health and fitness, opinions and analysis. Country of origin: Zimbabwe",Weekly,1 day after publication date,Monday,Source is government owned or controlled.,ASINET2,http://www.sundaynews.co.zw/,PBZNL,Zimbabwe Newspapers Limited,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Southern Africa (SOUAFR); Zimbabwe (ZIMBAB),20210117
SSD,English,article,Sunday Standard,Sunday Standard,Sunday Standard (Botswana),Active,,Full Text,Full Coverage,20150415,20150126,"Weekly newspaper, published on Monday, covering business, sports, lifestyle, and general news. Country of origin: Botswana","Weekly newspaper, published on Monday, covering business, sports, lifestyle, and general news. Country of origin: Botswana",Weekly,Same day as publication date,Monday,Published on Monday.,ASINET2,http://www.sundaystandard.info,SUNSTAND,Sunday Standard,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Botswana (BOTS); Southern Africa (SOUAFR),20210118
SUNTIM,English,article,The Sunday Times,The Sunday Times,The Sunday Times (South Africa),Active,,Full Text,Full Coverage,20081119,20080216,"The Sunday Times is one of South Africa's national newspapers. It includes Sunday Times Magazine, Lifestyle, Business Times and Metro sections. Country of origin: South Africa","The Sunday Times is one of South Africa's national newspapers. It includes Sunday Times Magazine, Lifestyle, Business Times and Metro sections. Country of origin: South Africa",Weekly,1 day after publication date,4 p.m. (GMT),Does not include tables.,AVUML,http://timeslive.co.za,AVUML,Times Media (Pty) Ltd,250368.0,ABCSA,Audit Bureau of Circulations South Africa,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20210117
SUNDTB,English,article,Sunday Tribune,Sunday Tribune,Sunday Tribune (South Africa),Active,,Full Text,Full Coverage,20061115,20061029,The Sunday Tribune covers the province of KwaZulu-Natal. It is a weekly newspaper bringing the province all the news from around the country and around the globe while keeping its main focus on the people of the province. Country of origin: South Africa,The Sunday Tribune covers the province of KwaZulu-Natal. It is a weekly newspaper bringing the province all the news from around the country and around the globe while keeping its main focus on the people of the province. Country of origin: South Africa,Weekly,Same day as publication date,Sunday,Suspended delivery: There are known delivery problems which are currently under investigation.,NEWSP1,http://iol.co.za/sunday-tribune,INONSA,Independent Online,48181.0,CSPUB,Publisher or Publisher Website,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20201206
SUNDW,English,article,Sunday World,Sunday World,Sunday World (South Africa),Discontinued,20200110.0,Full Text,Full Coverage,20081123,20081123,Sunday World is a weekly newspaper that focuses on both the people in the street as well as those on the corridors of power. Country of origin: South Africa,Sunday World is a weekly newspaper that focuses on both the people in the street as well as those on the corridors of power. Country of origin: South Africa,Weekly,Discontinued,Not available,Does not include tables. | This publication has been sold.,AVUML,http://www.sundayworld.co.za,AVUML,Times Media (Pty) Ltd,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); South Africa (SAFR); Southern Africa (SOUAFR),20190825
SWIZO,English,article,The Swazi Observer,The Swazi Observer,The Swazi Observer (Eswatini),Active,,Full Text,Full Coverage,20161019,20161018,"National daily newspaper covering national and international news and current affairs including politics, business, entertainment and sports. Country of origin: Eswatini (Swaziland)","National daily newspaper covering national and international news and current affairs including politics, business, entertainment and sports. Country of origin: Eswatini (Swaziland)",Daily,As available,As available,Source is government owned or controlled.,ALBWBA,http://observer.org.sz,PBSWAZ,Swazi Observer (Pty) Ltd,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Southern Africa (SOUAFR); Eswatini (Swaziland) (SWAZD),20210122
TAMFO,French,article,Tamtaminfo,Tamtaminfo,"Tamtaminfo (Niger, French Language)",Active,,Full Text,Full Coverage,20161023,20160816,"National weekly newspaper focusing on national and international news, politics, economics and culture. Country of origin: Niger","Journal hebdomadaire national mettant l'accent sur les actualités nationales et internationales, la politique, l’économie et  la culture. Pays d'origine: Niger",Weekly,As available,As available,,ALBWBA,http://www.tamtaminfo.com,PBNIDNI,Nouvelles Imprimeries du Niger,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Niger (NIGER); West Africa (WAFR),20210118
TELNON,Portuguese,article,Téla Nón,Téla Nón,"Téla Nón (Sao Tome and Principe, Portuguese Language)",Active,,Full Text,Full Coverage,20161021,20161021,"Téla Nón is an online newspaper covering regional, economic, political, cultural and sports news. Country of origin: Sao Tome and Principe","Tela Non é um jornal digital que fornece notícias regionais, económicas, culturais, desportivas, políticas e sobre a sociedade. País de origem: São Tomé e Príncipe",Weekly,Same day as publication date,Friday,,ASINET2,http://www.telanon.info,PBTELE,Téla Nón,,,,NWSWEB,Web Sites: Newspapers,,Africa (AFRICA); Central Africa (CEAFR); Sao Tome and Principe (PST),20210122
TLXAR,Arabic,article,telexPresse,telexPresse,telexPresse (Arabic Language),Active,,Full Text,Full Coverage,20200424,20200310,"telexPresse is an Arabic language news and information portal from Morocco covering local, regional and international news, politics, society, art and culture, technology and health. Country of origin: Morocco","telexPresse is an Arabic language news and information portal from Morocco covering local, regional and international news, politics, society, art and culture, technology and health. Country of origin: Morocco",Daily,Same day as publication date,"Daily, as available",,,http://www.telexpresse.com/,ALBWBA,SyndiGate Media Inc,,,,WEBNEW,Web Sites: News,,Africa (AFRICA); Mediterranean (MEDZ); Morocco (MOROC); North Africa (NAFR),20210122
LETEMP,French,article,Le Temps,Le Temps,"Le Temps (Tunisia, French Language)",Discontinued,20190905.0,Full Text,Full Coverage,20080821,20080821,"Newspaper covering national and international news, current affairs, politics, business, sports and entertainment. Country of origin: Tunisia","Journal dont le contenu est axé sur les actualités nationales et internationales, la politique, les affaires, les sports et les loisirs. Pays d'origine: Tunisie",Tuesday-Saturday,Discontinued,Not available,"Source is government owned or controlled. |
This source has stopped updating.",ALBWBA,http://www.letemps.com.tn,DARASSA,Dar Assabah,,,,NWSPRI,Print Editions: Newspapers,,Africa (AFRICA); Mediterranean (MEDZ); North Africa (NAFR); Tunisia (TUNIS),20190208
